,id_limpio,title,author,subjects,genre_1
555,18784,ITINERARIO DE BUENOS AIRES A CORDOBA,"SOURRYÈRE DE SOUILLAC, JOSÉ","{'Buenos Aires (Argentina : Province) -- Description and travel', 'Argentina -- Discovery and exploration', 'Córdoba (Argentina : Province) -- Description and travel'}",TRAVEL
556,15046,"UN PASEO POR PARIS, RETRATOS AL NATURAL","BARCIA, ROQUE","{'Paris (France) -- Social life and customs', 'Paris (France) -- Description and travel'}",TRAVEL
557,29014,EN VIAJE (1881-1882),"CANÉ, MIGUEL","{'Voyages and travels', 'Colombia -- Description and travel'}",TRAVEL
558,48651,"VIAJE A AMERICA, TOMO 1 DE 2: ESTADOS UNIDOS, EXPOSICIÓN UNIVERSAL DE CHICAGO, MÉXICO, CUBA Y PUERTO RICO","PUIG Y VALLS, RAFAEL","{'Mexico -- Description and travel', 'Cuba -- Description and travel', 'United States -- Description and travel', ""World's Columbian Exposition (1893 : Chicago, Ill.)""}",TRAVEL
559,12435,PAGINAS SUDAMERICANAS,"PHIPPS, HELEN",{'Spanish language -- Readers'},TRAVEL
560,63810,LA VUELTA AL MUNDO DE UN NOVELISTA; VOL. 1/3,"BLASCO IBÁÑEZ, VICENTE",{'Voyages around the world'},TRAVEL
561,49354,"VIAJE A LOS ESTADOS UNIDOS, TOMO I","PRIETO, GUILLERMO",{'United States -- Description and travel'},TRAVEL
562,18783,DIARIO DEL VIAJE AL RIO BERMEJO,"MORILLO, FRANCISCO","{'Gran Chaco -- Discovery and exploration', 'Bermejo River (Bolivia and Argentina) -- Discovery and exploration'}",TRAVEL
563,53742,RECUERDOS DE ITALIA (PARTE 2 DE 2),"CASTELAR, EMILIO","{'Rome (Italy) -- Description and travel', 'Italy -- Description and travel'}",TRAVEL
564,52857,TIERRAS SOLARES: OBRAS COMPLETAS VOL. III,"DARÍO, RUBÉN","{'Darío, Rubén, 1867-1916 -- Travel -- Spain -- Andalusia', 'Europe -- Description and travel', 'Darío, Rubén, 1867-1916 -- Travel -- Europe', 'Andalusia (Spain) -- Description and travel', 'Authors, Nicaraguan -- 20th century -- Travel'}",TRAVEL
565,65719,LA FAMILIA DE DOCTOR PEDRAZA,"BLASCO IBÁÑEZ, VICENTE",{'Spanish fiction -- 20th century'},TRAVEL
566,51870,PEREGRINACIONES: OBRAS COMPLETAS VOL. XII,"DARÍO, RUBÉN","{'Exposition universelle (1900 : Paris, France)', 'Paris (France) -- Social life and customs', 'Italy -- Description and travel'}",TRAVEL
567,30275,LA RANA VIAJERA,"CAMBA, JULIO","{'Spain -- Description and travel -- Anecdotes, facetiae, satire, etc.'}",TRAVEL
568,57828,COSAS DE ESPAÑA; TOMO 1: (EL PAÍS DE LO IMPREVISTO),"FORD, RICHARD",{'Spain -- Description and travel'},TRAVEL
569,51019,"LA BIBLIA EN ESPAÑA, TOMO I (DE 3): O VIAJES, AVENTURAS Y PRISIONES DE UN INGLÉS EN SU INTENTO DE DIFUNDIR LAS ESCRITURAS POR LA PENÍNSULA","BORROW, GEORGE","{'Borrow, George, 1803-1881 -- Travel -- Spain', 'Spain -- Description and travel', 'Spain -- History -- 19th century'}",TRAVEL
570,64418,PAISAJES ARGENTINOS,"SALAVERRÍA, JOSÉ MARÍA",{'Argentina -- Description and travel'},TRAVEL
571,26314,VIAJES POR ESPAÑA,"ALARCÓN, PEDRO ANTONIO DE","{'Spain -- Description and travel', 'Spain -- Social life and customs -- 19th century'}",TRAVEL
572,13492,VIAJES POR EUROPA Y AMÉRICA,"PETANO Y MAZARIEGOS, GORGONIO","{'Europe -- Description and travel', 'South America -- Description and travel'}",TRAVEL
573,40182,ORIENTE,"BLASCO IBÁÑEZ, VICENTE","{'Europe -- Description and travel', 'Istanbul (Turkey) -- Description and travel', 'Blasco Ibáñez, Vicente, 1867-1928 -- Travel -- Europe'}",TRAVEL
574,51689,"LA BIBLIA EN ESPAÑA, TOMO III (DE 3): O VIAJES, AVENTURAS Y PRISIONES DE UN INGLÉS EN SU INTENTO DE DIFUNDIR LAS ESCRITURAS POR LA PENÍNSULA","BORROW, GEORGE","{'Borrow, George, 1803-1881 -- Travel -- Spain', 'Spain -- Description and travel', 'Spain -- History -- 19th century'}",TRAVEL
575,12274,VIAJES POR FILIPINAS: DE MANILA Á MARIANAS,"ALVAREZ GUERRA, JUAN",{'Philippines -- Description and travel'},TRAVEL
576,59189,"DESCRIPCION GEOGRAFICA DE UN NUEVO CAMINO DE LA GRAN CORDILLERA,: PARA FACILITAR LAS COMUNICACIONES DE BUENOS-AIRES CON CHILE","SOURRYÈRE DE SOUILLAC, JOSÉ","{'Cerro y Zamudio, José Santiago', 'Maule (Chile : Region)', 'Mendoza (Argentina : Province)', 'Argentina -- Discovery and exploration', 'Talca (Chile : Province)', 'Mountain passes -- Andes'}",TRAVEL
577,49376,DEL PLATA AL NIAGARA,"GROUSSAC, PAUL","{'America -- Description and travel', 'Groussac, Paul, 1848-1929', 'Latin America -- Description and travel', 'United States -- Description and travel'}",TRAVEL
578,12275,VIAJES POR FILIPINAS: DE MANILA Á ALBAY,"ALVAREZ GUERRA, JUAN",{'Philippines -- Description and travel'},TRAVEL
579,58910,"VIAJE A LOS ESTADOS UNIDOS, TOMO III","PRIETO, GUILLERMO",{'United States -- Description and travel'},TRAVEL
580,67348,ESTADOS UNIDOS,"SARMIENTO, DOMINGO FAUSTINO",{'United States -- Description and travel'},TRAVEL
581,12276,VIAJES POR FILIPINAS: DE MANILA Á TAYABAS,"ALVAREZ GUERRA, JUAN",{'Philippines -- Description and travel'},TRAVEL
582,15054,"VIAJES DE UN COLOMBIANO EN EUROPA, SEGUNDA SERIE","SAMPER, JOSÉ MARÍA",{'Europe -- Description and travel'},TRAVEL
583,73044,POR LAS DOS AMÉRICAS : $B NOTAS Y REFLEXIONES,"MOLINA, ENRIQUE","{'South America -- Description and travel', 'America -- Description and travel', 'United States -- Description and travel'}",TRAVEL
584,48652,"VIAJE A AMERICA, TOMO 2 DE 2: ESTADOS UNIDOS, EXPOSICIÓN UNIVERSAL DE CHICAGO, MÉXICO, CUBA Y PUERTO RICO","PUIG Y VALLS, RAFAEL","{'Mexico -- Description and travel', 'Cuba -- Description and travel', 'United States -- Description and travel', ""World's Columbian Exposition (1893 : Chicago, Ill.)""}",TRAVEL
585,51020,"LA BIBLIA EN ESPAÑA, TOMO II (DE 3): O VIAJES, AVENTURAS Y PRISIONES DE UN INGLÉS EN SU INTENTO DE DIFUNDIR LAS ESCRITURAS POR LA PENÍNSULA","BORROW, GEORGE","{'Borrow, George, 1803-1881 -- Travel -- Spain', 'Spain -- Description and travel', 'Spain -- History -- 19th century'}",TRAVEL
586,37590,CÓRDOBA,"MADRAZO, PEDRO D.",{'Córdoba (Spain) -- Description and travel'},TRAVEL
587,54471,"EL VIAJE A NICARAGUA É HISTORIA DE MIS LIBROS: OBRAS COMPLETAS, VOL. XVII","DARÍO, RUBÉN",{'Nicaragua -- Description and travel'},TRAVEL
588,58916,COSAS DE ESPAÑA; TOMO 2: (EL PAÍS DE LO IMPREVISTO),"FORD, RICHARD",{'Spain -- Description and travel'},TRAVEL
589,63816,LA VUELTA AL MUNDO DE UN NOVELISTA; VOL. 2/3,"BLASCO IBÁÑEZ, VICENTE",{'Voyages around the world'},TRAVEL
590,53741,RECUERDOS DE ITALIA (PARTE 1 DE 2),"CASTELAR, EMILIO","{'Rome (Italy) -- Description and travel', 'Italy -- Description and travel'}",TRAVEL
591,56519,"VIAJE A LOS ESTADOS UNIDOS, TOMO II","PRIETO, GUILLERMO",{'United States -- Description and travel'},TRAVEL
592,63587,ESTAMPAS DE VIAJE: ESPAÑA EN LOS DÍAS DE LA GUERRA,"URBINA, LUIS G. (LUIS GONZAGA)",{'Spain -- Description and travel'},TRAVEL
