,id_limpio,title,author,subjects
16916,25255,"Segunda parte de la crónica del Perú, que trata del señorio de los Incas Yupanquis y de sus grandes hechos y gobernacion","Cieza de León, Pedro de","{'Peru -- History -- Conquest, 1522-1548', 'Peru -- Description and travel -- Early works to 1800', 'Indians of South America -- Peru -- Social life and customs'}"
16985,25317,"La Argentina, o La conquista del Rio de La Plata. Poema histórico","Barco Centenera, Martín del","{'America -- Early accounts to 1600', 'America -- Discovery and exploration -- Spanish -- Poetry', 'Rio de la Plata Region (Argentina and Uruguay) -- History -- Poetry', 'Argentina -- History -- 1535-1617 -- Poetry'}"
16989,25320,Paternidad,"Theuriet, André",{'Fiction'}
17344,25640,Los argonautas,"Blasco Ibáñez, Vicente",{'Spanish fiction'}
17378,25671,Bocetos californianos,"Harte, Bret","{'California -- Social life and customs -- Fiction', 'Short stories', 'Western stories'}"
17395,25687,Tres Comedias Modernas: en un acto y en prosa,"Barranco, Mariano","{'Spanish drama', 'Comedy plays'}"
17416,25705,"Suma y narracion de los Incas, que los indios llamaron Capaccuna, que fueron señores de la ciudad del Cuzco y de todo lo á ella subjeto","Betanzos, Juan de","{'Betanzos, Juan de, -1576', 'Peru -- History -- Conquest, 1522-1548', 'Incas -- History', 'Indians of South America -- Andes Region -- History'}"
17495,25777,El idilio de un enfermo,"Palacio Valdés, Armando",{'Spanish fiction'}
17529,25807,Poemas,"Poe, Edgar Allan",{'American poetry -- Translations into Spanish'}
17535,25812,La Montálvez,"Pereda, José María de","{'Madrid (Spain) -- Social life and customs -- Fiction', 'Spanish fiction -- 19th century'}"
17694,25956,La desheredada,"Pérez Galdós, Benito",{'Madrid (Spain) -- Social life and customs -- Fiction'}
17729,25988,"Historia de la literatura y del arte dramático en España, tomo II","Schack, Adolf Friedrich von",{'Spanish drama -- History and criticism'}
17775,26028,Descripcion é historia del castillo de la aljafería: sito  extramuros de la ciudad de Zaragoza,"Nougués Secall, Mariano","{'Architecture, Islamic -- Spain -- Zaragoza', 'Aljafería (Zaragoza, Spain)', 'Palaces -- Spain -- Zaragoza'}"
17830,26078,El deseo,"Sudermann, Hermann","{'Suicide -- Fiction', 'Love stories, German', 'Sisters -- Fiction'}"
18001,26231,Transfusión,"Vedia, Enrique de",{'Spanish fiction -- 19th century'}
18055,26284,El Mar,"Michelet, Jules","{'Ocean', 'Natural history'}"
18089,26314,Viajes por España,"Alarcón, Pedro Antonio de","{'Spain -- Description and travel', 'Spain -- Social life and customs -- 19th century'}"
18189,26404,La nariz de un notario,"About, Edmond",{'French fiction -- Translations into Spanish'}
18302,26506,Lázaro: casi novela,"Picón, Jacinto Octavio",{'Spanish fiction -- 19th century'}
18304,26508,Fiebre de amor (Dominique),"Fromentin, Eugène","{'Love stories', 'Friendship -- Fiction'}"
18345,26545,Antonio Azorín: pequeño libro en que se habla de la vida de este peregrino señor,"Martínez Ruiz, José","{'Azorín, 1873-1967'}"
18467,26655,Tristán o el pesimismo,"Palacio Valdés, Armando",{'Spanish fiction'}
18579,26756,Espasmo,"De Roberto, Federico",{'Italian fiction -- Translations into Spanish'}
18596,26771,Thespis (novelas cortas y cuentos),"Bunge, Carlos O. (Carlos Octavio)","{'Fiction', 'Short stories'}"
18678,26845,Incertidumbre,"Lecomte du Noüy, Hermine Oudinot",{'French fiction -- Translations into Spanish'}
18771,26929,Cuentos de mi tiempo,"Picón, Jacinto Octavio",{'Spanish fiction -- 19th century'}
18791,26947,La transformación de las razas en América,"Alvarez, Agustín","{'Latin America -- Civilization', 'America -- Civilization'}"
18831,26983,Sangre y arena,"Blasco Ibáñez, Vicente",{'Bullfighters -- Fiction'}
18889,27034,Entrevistas (1998-2001),"Lebert, Marie","{'Internet', 'World Wide Web'}"
18904,27048,Las tecnologías y el libro para todos,"Lebert, Marie","{'Electronic books', 'Internet', 'World Wide Web'}"
18922,27064,Dulce y sabrosa,"Picón, Jacinto Octavio","{'Actresses -- Fiction', 'Seduction -- Fiction', 'Spanish fiction -- 19th century', 'Madrid (Spain) -- Fiction'}"
18963,27100,Historia de una parisiense,"Feuillet, Octave",{'Paris (France) -- Fiction'}
18986,27121,Mi tio y mi cura,"La Brète, Jean de",{'French fiction -- Translations into Spanish'}
19036,27167,Historia de Teruel,"Blasco, Cosme",{'Teruel (Spain)'}
19089,27214,Cuentos y diálogos,"Valera, Juan","{'Spanish fiction', 'Spanish drama'}"
19178,27295,Amparo (Memorias de un loco),"Fernández y González, Manuel",{'Fiction'}
19621,27695,La cuerda del ahorcado: Últimas aventuras de Rocambole: I El Loco de Bedlam,Ponson du Terrail,{'Fiction'}
19667,27736,La condenada (cuentos),"Blasco Ibáñez, Vicente","{'Short stories, Spanish', 'Spanish fiction'}"
19669,27738,Heath's Modern Language Series: José,"Palacio Valdés, Armando",{'Spanish language -- Textbooks for foreign speakers -- English'}
19690,27757,"Nuevo plan de fronteras de la provincia de Buenos Aires, proyectado en 1816","García, Pedro Andrés","{'Argentina -- Boundaries', 'Buenos Aires (Argentina : Province) -- Boundaries'}"
19850,27900,"El manco de Lepanto: episodio de la vida del príncipe de los ingenios, Miguel de Cervantes-Saavedra","Fernández y González, Manuel","{'Cervantes Saavedra, Miguel de, 1547-1616'}"
19964,28002,Electra,"Pérez Galdós, Benito",{'Spanish drama'}
20079,28106,Heath's Modern Language Series: Tres Comedias: Sin querer; De pequenas causas...; Los intereses creados,"Benavente, Jacinto","{'Spanish drama', 'Comedy plays'}"
20197,28212,La vistosa,"Picón, Jacinto Octavio","{'Short stories, Spanish', 'Spanish fiction'}"
20273,28281,Cecilia Valdés o la Loma del Ángel,"Villaverde, Cirilo",{'Cuba -- Fiction'}
20414,28408,"Comedias: El remedio en la desdicha; El mejor alcalde, el rey","Vega, Lope de",{'Spanish drama'}
20439,28430,"Filosofía Fundamental, Tomo IV","Balmes, Jaime Luciano",{'Philosophy'}
20562,28542,Descripción de la Patagonia y de las Partes Adyacentes de la América Meridional,"Falkner, Thomas","{'Patagonia (Argentina and Chile) -- Description and travel', 'Moluche dialect', 'Falkland Islands', 'Indians of South America -- Patagonia (Argentina and Chile)', 'Pampas (Argentina)'}"
20617,28592,El pecado y la noche,"Hoyos y Vinent, Antonio de",{'Spanish literature'}
20962,28904,Correspondencia Oficial e Inedita sobre la Demarcacion de Limites entre el Paraguay y el Brasil,"Azara, Félix de","{'Paraguay -- Boundaries -- Brazil', 'Brazil -- Boundaries -- Paraguay'}"
20987,28927,La bodega,"Blasco Ibáñez, Vicente","{'Jerez de la Frontera (Spain) -- History -- Fiction', 'Peasant uprisings -- Spain -- Jerez de la Frontera -- History -- Fiction'}"
20989,28929,El Criterio,"Balmes, Jaime Luciano",{'Philosophy'}
21031,28967,"Diario de la expedicion reduccional del ano 1780, mandada practicar por orden del Virey de Buenos Aires","Arias, Francisco Gavino de","{'Gran Chaco', 'Argentina -- Discovery and exploration', 'Jesuits -- Argentina', 'Gran Chaco -- Bibliography'}"
21043,28978,El infierno del amor: leyenda fantastica,"Fernández y González, Manuel",{'Poetry'}
21085,29014,En viaje (1881-1882),"Cané, Miguel","{'Voyages and travels', 'Colombia -- Description and travel'}"
21137,29061,Relacion historial de las misiones de indios chiquitos que en el Paraguay tienen los padres de la Compañía de Jesús,"Fernández, Juan Patricio","{'Jesuits -- Missions -- Paraguay -- History', 'Chiquito Indians -- Missions', 'Guarani Indians -- Missions'}"
21155,29078,Estudios históricos del reinado de Felipe II,"Fernández Duro, Cesáreo","{'Spain -- History -- Philip II, 1556-1598', 'Pérez, Antonio, -1611', 'Spain -- Politics and government -- 1556-1598', 'Jerba, Massacre of, 1560'}"
21186,29105,El pintor de Salzburgo,"Nodier, Charles","{'French fiction -- Translations into Spanish', 'Short stories, French -- Translations into Spanish'}"
21221,29137,El enemigo,"Picón, Jacinto Octavio",{'Spanish fiction -- 19th century'}
21404,29301,"El Manuscrito de mi madre: aumentado con las comentarios, prólogo y epílogo","Lamartine, Alix de","{'Lamartine, Alix de, 1766-1829 -- Diaries', 'France -- Social life and customs -- 19th century'}"
21620,29497,Fábulas literarias,"Iriarte, Tomás de","{'Fables, Spanish'}"
21631,29506,El sombrero de tres picos: Historia verdadera de un sucedido que anda en romances escrita ahora tal y como pasó,"Alarcón, Pedro Antonio de","{'Andalusia (Spain) -- Fiction', 'Husband and wife -- Fiction', 'Spanish fiction'}"
21637,29511,El molino silencioso; Las bodas de Yolanda,"Sudermann, Hermann",{'German fiction -- Translations into Spanish'}
21708,29576,"Tratado metódico y práctico de Materia Médica y de Terapéutica, tomo segundo","Espanet, Alexis",{'Homeopathy -- Materia medica and therapeutics'}
21747,29610,Las Solteronas,"Mancey, Claude",{'Single women -- Fiction'}
21780,29640,Germana,"About, Edmond",{'French fiction -- Translations into Spanish'}
21805,29663,"Tres mujeres: La recompensa, Prueba de un alma, Amores románticos","Picón, Jacinto Octavio",{'Spanish fiction'}
21820,29677,Heath's Modern Language Series: El trovador,"García Gutiérrez, Antonio",{'Spanish drama'}
21850,29703,El Abate Constantin,"Halévy, Ludovic","{'Love stories', 'France -- Social life and customs -- 19th century -- Fiction', 'Clergy -- France -- Fiction', 'Catholic Church -- Clergy -- Fiction'}"
21853,29706,Cartas de mi molino,"Daudet, Alphonse",{'France -- Social life and customs -- Fiction'}
21881,29731,El Capitán Veneno: The Hispanic Series,"Alarcón, Pedro Antonio de",{'Fiction'}
21924,29770,Plick y Plock,"Sue, Eugène",{'French fiction -- Translations into Spanish'}
21955,29799,Los espectros: Novelas breves,"Andreyev, Leonid","{'Fiction', 'Short stories, Russian -- Translations into Spanish'}"
21961,29803,Una historia del eBook,"Lebert, Marie",{'Electronic books'}
21991,29830,El tesoro misterioso,"Le Queux, William",{'Detective and mystery stories'}
21992,29831,Riverita,"Palacio Valdés, Armando",{'Spanish fiction'}
22070,29901,Liette,"Dourliac, Arthur",{'Fiction'}
22091,29920,La gloria de don Ramiro: una vida en tiempos de Felipe segundo,"Larreta, Enrique","{'Spain -- History -- Philip II, 1556-1598 -- Fiction'}"
22239,30052,Esploración arqueológica de la Provincia de Catamarca,"Moreno, Francisco Pascasio",{'Catamarca (Argentina : Province) -- Antiquities'}
22240,30053,"Los Puritanos, y otros cuentos","Palacio Valdés, Armando","{'Short stories, Spanish'}"
22317,30122,Entre naranjos,"Blasco Ibáñez, Vicente",{'Spanish fiction'}
22375,30175,Los Principios Matemático-Históricos y la Evolución de la Libertad,"Fernández Bolívar, Víctor José",{'History -- Philosophy'}
22417,30213,Algo de todo,"Valera, Juan",{'Essays'}
22485,30275,La rana viajera,"Camba, Julio","{'Spain -- Description and travel -- Anecdotes, facetiae, satire, etc.'}"
22491,30280,Vida y obras de don Diego Velázquez,"Picón, Jacinto Octavio","{'Velázquez, Diego, 1599-1660'}"
22651,30425,El maestrante,"Palacio Valdés, Armando",{'Spanish fiction'}
22773,30535,El origen del pensamiento,"Palacio Valdés, Armando",{'Spanish fiction'}
22974,30716,El Internet y los idiomas [alrededor del año 2000],"Lebert, Marie",{'World Wide Web'}
23169,30892,De Las Islas Filipinas,"Alvarez y Tejero, Luis Prudencio",{'Philippines -- Description and travel'}
23182,30903,El Filibusterismo (Continuación del Noli me tángere),"Rizal, José","{'Philippine fiction (Spanish)', 'Nationalists -- Philippines -- Fiction', 'Philippines -- History -- Fiction'}"
23273,30986,De varios colores,"Valera, Juan",{'Spanish literature -- 19th century'}
23305,31013,La hermana San Sulpicio,"Palacio Valdés, Armando",{'Spanish fiction'}
23363,31066,El legado del ignorantismo: Conferencia dada el 23 de abril de 1920 ante la Asamblea de Maestros en Baguio,"Pardo de Tavera, T. H. (Trinidad Hermenegildo)","{'Church and education -- Philippines', 'Education -- Philippines'}"
23805,31464,La de Bringas,"Pérez Galdós, Benito","{'Women -- Spain -- Fiction', 'Spain -- Social life and customs -- 19th century -- Fiction', 'Spanish fiction'}"
23806,31465,Tormento,"Pérez Galdós, Benito","{'Spain -- Social life and customs -- 19th century -- Fiction', 'Orphans -- Fiction', 'Madrid (Spain) -- Fiction'}"
23891,31541,Fígaro (Artículos selectos),"Larra, Mariano José de",{'Spanish essays'}
23894,31544,La invasión o El loco Yégof,Erckmann-Chatrian,{'France -- History -- Invasion of 1814 -- Fiction'}
23971,31613,El Superhombre y otras novedades,"Valera, Juan",{'Spanish literature'}
23993,31633,El Proyecto Gutenberg (1971-2009),"Lebert, Marie",{'Project Gutenberg'}
23997,31637,La Fe,"Palacio Valdés, Armando",{'Spanish fiction'}
24075,31707,Carlos Broschi,"Scribe, Eugène",{'French fiction -- Translations into Spanish'}
24094,31724,La gran aldea; costumbres bonaerenses,"López, Lucio Vicente","{'Buenos Aires (Argentina) -- Social life and customs -- 19th century -- Fiction', 'Argentine fiction -- 19th century'}"
24512,320,Vida De Lazarillo De Tormes Y De Sus Fortunas Y Adversidades,Anonymous,"{'Spain -- Social conditions -- 16th century -- Fiction', 'Picaresque literature, Spanish', 'Spanish fiction'}"
24662,32235,Aguas fuertes,"Palacio Valdés, Armando",{'Spanish fiction'}
24751,32315,"Historia de la vida del Buscón, llamado Don Pablos, ejemplo de vagabundos y espejo de tacaños","Quevedo, Francisco de","{'Picaresque literature, Spanish', 'Spanish fiction -- Classical period, 1500-1700'}"
24805,32364,Marta y María: novela de costumbres,"Palacio Valdés, Armando",{'Spanish fiction'}
25764,33227,"La fee triunfante en quatro autos: Celebrados en Mallorca por el Santo Oficio de la Inquisición en que han salido ochenta y ocho reos, y de treinta y siete relajados sólo hubo tres pertinaces.","Garau, Francisco",{'Inquisition -- Spain -- Majorca'}
25808,33267,Facundo,"Sarmiento, Domingo Faustino","{'Argentina -- History -- 1817-1860', 'Quiroga, Juan Facundo, 1790-1835', 'Argentina -- Description and travel'}"
25817,33275,El cocinero de su majestad: Memorias del tiempo de Felipe III,"Fernández y González, Manuel","{'Martínez Montiño, Francisco, active 16th century -- Fiction'}"
25963,33406,Heath's Modern Language Series: Spanish Short Stories,,"{'Spanish language -- Readers', 'Spanish language -- Textbooks for foreign speakers -- English'}"
26024,33461,Booknología: El libro digital (1971-2010),"Lebert, Marie",{'Electronic books'}
26038,33474,La horda,"Blasco Ibáñez, Vicente","{'Man-woman relationships -- Fiction', 'Authors -- Fiction', 'Poverty -- Fiction', 'Madrid (Spain) -- Fiction'}"
26278,33690,"Historia de la literatura y del arte dramático en España, tomo I","Schack, Adolf Friedrich von",{'Spanish drama -- History and criticism'}
26410,33809,"Tratado metódico y práctico de Materia Médica y de Terapéutica, tomo primero","Espanet, Alexis",{'Homeopathy -- Materia medica and therapeutics'}
26494,33885,Historia de los Judíos en España: desde los tiempos de su establecimiento hasta principios del present siglo,"Castro, Adolfo de",{'Jews -- Spain -- History'}
26724,34091,Del libro impreso al libro digital,"Lebert, Marie",{'Electronic books'}
27250,34565,Crónicas de Marianela,"Palma, Angélica","{'Fiction', 'Short stories'}"
28186,35407,Rimas,"Mitre, Bartolomé",{'Poetry'}
28713,35882,A vuela pluma: colección de artículos literarios y políticos,"Valera, Juan","{'Spanish literature', 'Spain -- Politics and government', 'Spain', 'Political science', 'Literature'}"
28739,35905,Cosas nuevas y viejas (apuntes sevillanos),"Chaves Rey, Manuel","{'Seville (Spain) -- Biography', 'Seville (Spain) -- History'}"
29125,36253,"Historia de la literatura y del arte dramático en España, tomo III","Schack, Adolf Friedrich von",{'Spanish drama -- History and criticism'}
29197,36318,Curiosidades antiguas sevillanas: (serie segunda),"Gestoso y Pérez, José",{'Andalusia (Spain)'}
29347,36453,La guardia blanca: novela histórica escrita en inglés,"Doyle, Arthur Conan","{'Archers -- Fiction', ""Hundred Years' War, 1339-1453 -- Fiction"", 'Middle Ages -- Fiction', 'Knights and knighthood -- Fiction', 'War stories', 'Historical fiction', 'British -- France -- Fiction'}"
29450,36546,"Los pescadores de ""Trépang""","Salgari, Emilio","{'Oceania -- Fiction', 'Adventure stories'}"
29463,36558,Ratón Pérez: cuento infantil,"Coloma, Luis","{'Tooth Fairy (Legendary character) -- Juvenile fiction', 'Mice -- Juvenile fiction'}"
29480,36573,La aldea perdida: Novela-poema de costumbres campesinas,"Palacio Valdés, Armando",{'Spanish fiction'}
29738,36805,Spanish Tales for Beginners,,{'Spanish language -- Readers'}
29888,36940,El señorito Octavio,"Palacio Valdés, Armando",{'Spanish fiction'}
29938,36986,El ebook tiene 40 años (1971-2011),"Lebert, Marie",{'Electronic books'}
29943,36990,La letra escarlata: novela escrita en inglés,"Hawthorne, Nathaniel","{'Illegitimate children -- Fiction', 'Adultery -- Fiction', 'Women immigrants -- Fiction', 'Revenge -- Fiction', 'Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction', 'Clergy -- Fiction', 'Married women -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Puritans -- Fiction', 'Historical fiction', 'Psychological fiction'}"
30029,37067,"Historia de la literatura y del arte dramático en España, tomo IV","Schack, Adolf Friedrich von",{'Spanish drama -- History and criticism'}
30060,37095,"Historia de la literatura y del arte dramático en España, tomo V","Schack, Adolf Friedrich von",{'Spanish drama -- History and criticism'}
30109,37139,Los enemigos de la mujer,"Blasco Ibáñez, Vicente",{'Spanish fiction'}
30379,37382,Los cursos,"Veber, Pierre","{'One-act plays', 'Drama'}"
30610,37590,Córdoba,"Madrazo, Pedro D.",{'Córdoba (Spain) -- Description and travel'}
30662,37637,Los majos de Cádiz,"Palacio Valdés, Armando",{'Spanish fiction'}
30784,37747,Guerra de razas (Negros contra Blancos en Cuba),"Conte, Rafael","{'Race War, Cuba, 1912', 'Black people -- Cuba', 'Cuba -- Race relations'}"
31204,38124,Spanish Composition,"Broomhall, Edith J. (Edith Jane)","{'Spanish language -- Grammar', 'Spanish language -- Composition and exercises'}"
31970,38814,La novela de un novelista,"Palacio Valdés, Armando",{'Spanish fiction'}
31994,38836,Catalogo de los Objetos Etnologicos y Arqueologicos Exhibidos por la Expedición Hemenway,"Fewkes, Jesse Walter","{'Arizona -- Antiquities', 'New Mexico -- Antiquities', 'New Mexico -- Bibliography', 'Hopi Indians', 'Indians -- Bibliography', 'Mexico -- Bibliography', 'Hemenway collection'}"
32048,38885,"Tratado de Paz, Amistad, Comercio y navegacion entre la Confederación Argentina y la República del Paraguay",Argentina,"{'Argentina -- Foreign relations -- Paraguay -- Sources', 'Paraguay -- Foreign relations -- Argentina -- Sources'}"
32303,39113,Los hermanos Plantagenet,"Fernández y González, Manuel",{'Historical fiction'}
32409,39209,Platero y yo,"Jiménez, Juan Ramón","{'Authors -- Fiction', 'Donkeys -- Fiction', 'Andalusia (Spain) -- Social life and customs -- Fiction'}"
32524,39312,Los ingenios:: colección de vistas de los principles ingenios de azúcar de la isla de Cuba,"Cantero, J. G. (Justo Germán)","{'Sugar trade -- Cuba -- History -- 19th century', 'Plantations -- Cuba -- History -- 19th century'}"
32670,39444,Páginas escogidas,"Palacio Valdés, Armando",{'Spanish fiction'}
32672,39446,El derecho internacional americano; estudio doctrinal y crítico,"Stoerk, Felix","{'Spanish-American War, 1898', 'Monroe doctrine'}"
32819,39579,"Descripción colonial, libro primero (1/2)","Lizárraga, Reginaldo de","{'America -- Early accounts to 1600', 'South America -- Description and travel'}"
32858,39613,Papeles del doctor Angélico,"Palacio Valdés, Armando",{'Spanish fiction'}
33210,39930,El proletario en España y el Negro en Cuba,"Espinosa, Ramón J.","{'Slavery -- Cuba', 'Spain -- Social life and customs', 'Cuba -- Social life and customs'}"
33228,39947,"Historia de Venezuela, Tomo I","Aguado, Pedro de, active 16th century","{'Venezuela -- History -- 1556-1810', 'Venezuela -- History -- To 1556'}"
33229,39948,"Historia de Venezuela, Tomo II","Aguado, Pedro de, active 16th century","{'Venezuela -- History -- 1556-1810', 'Venezuela -- History -- To 1556'}"
33276,39990,Años de juventud del doctor Angélico,"Palacio Valdés, Armando",{'Spanish fiction'}
33362,40066,"Páginas sevillanas: Sucesos Históricos, Personajes Célebres, Monumentos Notables, Tradiciones Populares, Cuentos Viejos, Leyendas y Curiosidades.","Chaves Rey, Manuel","{'Seville (Spain) -- History', 'Seville (Spain) -- Social life and customs'}"
33491,40182,Oriente,"Blasco Ibáñez, Vicente","{'Europe -- Description and travel', 'Istanbul (Turkey) -- Description and travel', 'Blasco Ibáñez, Vicente, 1867-1928 -- Travel -- Europe'}"
33686,40358,Salta,"Dávalos, Juan Carlos",{'Salta (Argentina)'}
33756,40420,La voz de España contra todos sus enemigos,"Avilés, José María","{'Cuban question', 'Spanish-American War, 1898', 'Spain -- Social conditions'}"
33893,40544,La lucha por la vida: Aurora roja,"Baroja, Pío",{'Spanish fiction -- 20th century'}
33949,40595,"Cocina cómica: Recetas de guisos y postres, poesías culinarias, y otros excesos","Pérez Zúñiga, Juan",{'Cooking -- Humor'}
34093,40724,"Descripción colonial, libro segundo (2/2)","Lizárraga, Reginaldo de","{'America -- Early accounts to 1600', 'South America -- Description and travel'}"
34189,40810,Maximina,"Palacio Valdés, Armando",{'Spanish fiction'}
34207,40827,"La voz de la conseja, t.1: Selección de las mejores novelas breves y cuentos de los más esclarecidos literatos","Baroja, Pío",{'Spanish fiction'}
34518,41106,"La voz de la conseja, t.2: Selección de las mejores novelas breves y cuentos de los más esclarecidos literatos","Álvarez Quintero, Joaquín",{'Spanish fiction'}
34579,41161,La vida en los campos: novelas cortas,"Verga, Giovanni","{'Short stories, Italian -- Translations into Spanish', 'Italy -- Social life and customs -- Fiction'}"
34774,41337,Catálogo Monumental de España; Provincia de Álava: Inventario general de los monumentos históricos y artísticos de al nación.,"Castro, Cristóbal de","{'Art, Spanish -- Spain -- Alava (Province) -- Catalogs', 'Monuments -- Spain -- Alava (Province) -- Catalogs'}"
35038,41575,Juvenilla; Prosa ligera,"Cané, Miguel","{'Argentine literature', 'Argentina -- Social life and customs'}"
35228,41746,Flor de mayo,"Blasco Ibáñez, Vicente",{'Spanish fiction'}
35275,41789,Diario de la expedicion de 1822 a los campos del sud de Buenos Aires: Desde Moron hasta la Sierra de la Ventana,"García, Pedro Andrés","{'Buenos Aires (Argentina : Province) -- Description and travel', 'Indians of South America -- Argentina', 'Argentina -- Discovery and exploration', 'Argentina -- Description and travel'}"
35335,41842,"El aceite de olivas : $b su extracción, clarificación, depuración, conservación y envases para su exportación, decoloración y medios propuestos para quitarle la rancidez","Bizzarri, Alessandro",{'Olive oil'}
35347,41853,Rafael Cordero: Elogio Póstumo,"Brau, Salvador","{'Teachers -- Puerto Rico -- Biography', 'Cordero, Rafael, 1790-1868'}"
35381,41884,La situacion de Puerto-Rico: Las falacias de los conservadores y los compromisos del partido radical,Anonymous,"{'Slavery -- Puerto Rico', 'Puerto Rico -- Politics and government -- To 1898'}"
35537,42023,"La web, una enciclopedia multilingüe","Lebert, Marie",{'World Wide Web'}
35583,42065,Proceso del Dr. José Rizal Mercado y Alonso,,"{'Rizal, José, 1861-1896', 'Trials (Political crimes and offenses) -- Philippines'}"
35868,42321,Lo que dice la historia: Cartas al señor Ministro de Ultramar,"Brau, Salvador","{'Puerto Rico -- History', 'Puerto Rico -- Politics and government -- To 1898'}"
35870,42323,La guerra injusta; cartas de un español,"Palacio Valdés, Armando","{'World War, 1914-1918 -- France'}"
35928,42376,Semblanzas literarias,"Palacio Valdés, Armando","{'Spanish literature', 'Authors, Spanish'}"
35982,42424,Sonata de estío: memorias del marqués de Bradomín,"Valle-Inclán, Ramón del",{'Spanish fiction -- 20th century'}
36000,42440,Sonata de primavera: memorias del marqués de Bradomín,"Valle-Inclán, Ramón del","{'Man-woman relationships -- Fiction', 'Aristocracy (Social class) -- Fiction', 'Spanish fiction -- 20th century'}"
36017,42456,El Jayón: Drama en tres actos,"Espina, Concha",{'Drama'}
36224,42642,"Cocina del tiempo, ó arte de preparar sabrosos y exquisitos platos propios de cada estación","Ruiz Contreras, Luis","{'Seasonal cooking', 'Cookbooks'}"
36294,42705,La emancipacion de los esclavos en los Estados Unidos,"Labra, Rafael M. de (Rafael María)","{'Freed persons', 'Reconstruction (U.S. history, 1865-1877)', 'Enslaved persons -- Emancipation -- United States'}"
36318,42727,La alegría del capitán Ribot,"Palacio Valdés, Armando",{'Spanish fiction'}
36641,43017,Mala Hierba,"Baroja, Pío",{'Spanish fiction -- 20th century'}
36656,43030,La maja desnuda,"Blasco Ibáñez, Vicente","{'Painters -- Fiction', 'Husband and wife -- Fiction', 'Widowers -- Fiction', 'Madrid (Spain) -- Fiction', 'Man-woman relationships -- Fiction'}"
36659,43033,La lucha por la vida: Mala hierba,"Baroja, Pío",{'Spanish fiction -- 20th century'}
36928,43276,"Almacen de recetas escogidas y probadas: ó sea tratado de jarabes, aguas destiladas, licores por destilación, vinos por imitación y helados",Anonymous,"{'Liquors', 'Formulas, recipes, etc.', 'Syrups', 'Ice cream, ices, etc.'}"
37067,43400,Música y Músicos Portorriqueños,"Callejo Ferrer, Fernando","{'Musicians -- Puerto Rico', 'Music -- Puerto Rico -- History and criticism'}"
37068,43401,A Flor De Piel: Frases,"Sánchez Galarraga, Gustavo","{'Philosophy', 'Maxims'}"
37102,43432,La lucha por la vida: La busca,"Baroja, Pío",{'Spanish fiction -- 20th century'}
37169,43493,La Experiencia Abolicionista de Puerto Rico,Sociedad Abolicionista Española,{'Antislavery movements -- Puerto Rico'}
37578,43861,Granos de oro: Pensamientos Seleccionados en las Obras de José Martí,"Martí, José","{'Martí, José, 1853-1895 -- Selections'}"
37677,43950,Cincuenta y cuatro Canciones Españolas del siglo XVI: Cancionero de Uppsala,,"{'Folk songs, Spanish', 'Villancicos (Music)', 'Ballads, Spanish'}"
37867,44120,"La Caza de La Perdiz Con Escopeta, Al Vuelo y con Perro de Muestra","Saurí, Manuel",{'Partridge shooting -- Spain'}
37925,44173,Filosofía Americana: Ensayos,"Molina, Enrique","{'Philosophy, American', 'National characteristics, American'}"
38072,44305,El Mulato Plácido o El Poeta Mártir,"Lemoine, Joaquín",{'Historical fiction'}
38076,44309,Escuela de Humorismo: Novelas.—Cuentos.,"Díaz-Caneja, Guillermo","{'Humorous stories, Spanish', 'Spanish fiction'}"
38130,44358,La Tía Tula (Novela),"Unamuno, Miguel de","{'Aunts -- Fiction', 'Single women -- Fiction', 'Spanish fiction -- 20th century'}"
38302,44512,Abel Sánchez: Una Historia de Pasión,"Unamuno, Miguel de","{'Male friendship -- Fiction', 'Envy -- Fiction', 'Spanish fiction -- 20th century'}"
38320,44529,Dulce Nombre (Novela),"Espina, Concha",{'Spanish fiction -- 20th century'}
38381,44584,Los monfíes de las Alpujarras: novela original,"Fernández y González, Manuel",{'Historical fiction'}
38752,44918,Hombres y glorias de América,"Piñeyro, Enrique","{""Anghiera, Pietro Martire d', 1457-1526"", 'Bello, Andrés, 1781-1865', 'Motley, John Lothrop, 1814-1877', 'Mitre, Bartolomé, 1821-1906. Historia de San Martín y de la emancipación sudamericana', 'Lincoln, Abraham, 1809-1865', 'Heredia, José María, 1803-1839', 'Vera y Figueroa, Juan Antonio de, conde de la Roca, 1588-1658. Centón epistolario', 'Luz y Caballero, José de la, 1800-1862', 'United States -- Politics and government -- 1861-1865'}"
39012,45151,Historia de la Conquista de la Habana (1762),"Guiteras, Pedro José","{'Havana (Cuba) -- History -- Siege, 1762'}"
39034,45171,Mis contemporaneos; 1 Vicente Blasco Ibáñez,"Zamacois, Eduardo","{'Blasco Ibáñez, Vicente, 1867-1928'}"
39044,45180,Poetas de color,"Calcagno, Francisco","{'Poets, Cuban', 'Authors, Black -- Cuba'}"
39047,45183,"Diario de un viage a Salinas Grandes, en los campos del sud de Buenos Aires","García, Pedro Andrés",{'Buenos Aires (Argentina : Province) -- Description and travel'}
39122,45250,"Los Indios, su Historia y su Civilización","Batres Jáuregui, Antonio","{'Indians of Central America -- Guatemala', 'Indians'}"
