,id_limpio,title,author,genre,subjects,genre_1,genre_2,genre_3
788,17430,MORSAMOR: PEREGRINACIONES HEROICAS Y LANCES DE AMOR Y FORTUNA DE; MIGUEL DE ZUHEROS Y TIBURCIO DE SIMAHONDA,"VALERA, JUAN",FICTION / Adventure,{'Spanish fiction -- 19th century'},FICTION,ADVENTURE,FICTION OTHERS
789,22092,PASARSE DE LISTO,"VALERA, JUAN",FICTION / Short Stories (single author),{'Fiction'},FICTION,SHORT STORIES (SINGLE AUTHOR),FICTION SHORT STORIES (SINGLE AUTHOR)
790,27214,CUENTOS Y DIÁLOGOS,"VALERA, JUAN",FICTION / Short Stories (single author),"{'Spanish fiction', 'Spanish drama'}",FICTION,SHORT STORIES (SINGLE AUTHOR),FICTION SHORT STORIES (SINGLE AUTHOR)
791,30213,ALGO DE TODO,"VALERA, JUAN",FICTION / Anthologies (multiple authors),{'Essays'},FICTION,ANTHOLOGIES (MULTIPLE AUTHORS),FICTION OTHERS
792,30986,DE VARIOS COLORES,"VALERA, JUAN",FICTION / Literary,{'Spanish literature -- 19th century'},FICTION,LITERARY,FICTION LITERARY
793,31613,EL SUPERHOMBRE Y OTRAS NOVEDADES,"VALERA, JUAN",FICTION / Satire,{'Spanish literature'},FICTION,SATIRE,FICTION SATIRE
794,35882,A VUELA PLUMA: COLECCIÓN DE ARTÍCULOS LITERARIOS Y POLÍTICOS,"VALERA, JUAN",LITERARY COLLECTIONS / Essays,"{'Spanish literature', 'Spain -- Politics and government', 'Spain', 'Political science', 'Literature'}",LITERARY COLLECTIONS,ESSAYS,LITERARY COLLECTIONS
795,52093,"LAS ILUSIONES DEL DOCTOR FAUSTINO, V.1","VALERA, JUAN",FICTION / Literary,{'Spanish fiction -- 19th century'},FICTION,LITERARY,FICTION LITERARY
796,53330,DAFNIS Y CLOE; LEYENDAS DEL ANTIGUO ORIENTE (FRAGMENTOS),"VALERA, JUAN",FICTION / Historical,"{'Spanish literature', 'Daphnis (Greek mythology) -- Fiction'}",FICTION,HISTORICAL,FICTION HISTORICAL
797,53436,"LAS ILUSIONES DEL DOCTOR FAUSTINO, V.2","VALERA, JUAN",FICTION / Literary,{'Spanish fiction -- 19th century'},FICTION,LITERARY,FICTION LITERARY
798,62984,CARTAS AMERICANAS. PRIMERA SERIE,"VALERA, JUAN",LITERARY COLLECTIONS / Letters,"{'Spanish American literature -- History and criticism', 'Spanish literature -- History and criticism'}",LITERARY COLLECTIONS,LETTERS,LITERARY COLLECTIONS
799,63101,NUEVAS CARTAS AMERICANAS,"VALERA, JUAN",LITERARY COLLECTIONS / Letters,"{'South America -- Intellectual life', 'Spanish American literature -- History and criticism', 'Positivism'}",LITERARY COLLECTIONS,LETTERS,LITERARY COLLECTIONS
800,49359,"EL CAMPESINO PUERTORRIQUEÑO: SUS CONDICIONES FÍSICAS, INTELECTUALES Y MORALES, CAUSAS QUE LA DETERMINAN Y MEDIOS PARA MEJORARLAS","VALLE ATILES, FRANCISCO DEL",SOCIAL SCIENCE / Anthropology,"{'Puerto Rico -- Economic conditions', 'Ethnology -- Puerto Rico', 'Peasants -- Puerto Rico'}",SOCIAL SCIENCE,ANTHROPOLOGY,SOCIAL SCIENCE
